Actual,Predicted
0,0.335500278478434
0,0.23809869085449487
0,0.15105220156015875
0,0.24013649535709436
0,0.48142376359567485
0,0.45257374710568654
0,-0.17450468697019772
0,0.6066228700929015
0,0.5241779559988353
0,0.7047695263214593
1,0.3236046604552696
0,0.8529060086377835
1,0.3846661185981497
0,0.36056947538641193
0,0.09946712089364862
1,0.4153955744023816
0,0.17869122712834895
0,0.0778230100970645
1,0.8073086143607053
1,0.5129947718843415
0,0.2809059395160891
0,0.08303057146138193
0,0.5099156967125593
0,0.11381771166631971
0,0.5132502162929928
1,0.8252854941524645
0,0.17892718282017506
0,-0.05942019837704704
1,0.28338572491859026
0,0.1640794887594199
1,0.8385122461434318
1,0.8073751455795981
1,0.6815438859857343
1,0.7649502045111629
0,0.5614029665618179
1,0.6212313079715026
1,1.061345538110433
1,0.3099077492015747
0,0.5175233644038719
1,0.6369148227768859
0,0.07075333036687526
0,0.5775700714781311
0,0.5501546203657062
1,0.37541744508062114
0,-0.07644181958595775
1,0.5011920832127286
1,0.5960016180696144
0,0.2746476058177627
0,0.4247799468821072
0,0.9941897987541453
0,0.009695842014426304
1,0.6176357754882804
1,0.7339528808429521
1,0.31090975394586695
0,0.13456811581147865
0,-0.025363160587588696
0,0.7121914651358263
0,-0.3051821847658641
0,0.41994556005061323
1,0.6786959367512571
1,0.6689142784021531
0,0.37984520008102995
0,0.29566459882013785
1,0.2880350009879
0,0.06813053177640138
0,0.5546433800837125
0,0.013685038993685894
1,0.6272006968643618
0,-0.020332812145029577
1,0.637229299181358
0,0.6192849414333408
0,0.07019371826257603
0,0.2638832242210871
1,0.14080565073483187
0,0.124251085847495
0,0.5005431739243205
0,0.24772660953471504
0,0.21027229366434574
0,0.18419241085970417
0,0.2834636082271149
1,0.6020636717112591
1,0.19720080573366539
0,0.04718637828065286
0,0.3916345942542614
0,0.31373787403014064
1,0.7578960921638827
1,0.8254976933805471
1,0.3594422785216327
0,0.17231140282781854
0,0.09578880206539142
0,0.058941359003902516
0,0.2772680026872283
0,-0.35746244960371765
1,0.528024733967033
0,0.485699712260361
0,0.5767007946506433
0,0.40681612788616417
0,0.16649132894556806
1,0.5692717073294105
0,0.09451542629008802
0,0.657033502016106
0,0.03311435084069636
1,0.6807380250132609
0,0.48441105610651936
1,0.5896788231390462
0,0.2705550140153947
0,0.33149867670689903
1,0.6651240144082451
1,0.17581258111145304
1,0.515661488926171
0,0.13045166181217427
0,0.3801010711985724
0,-0.09497529732158405
1,0.6558284862421091
0,0.23302651271239072
0,0.37167430245031463
1,0.683914713019165
0,0.2817434074862064
0,0.05450268049453366
0,0.5369039684977315
0,0.04284506690262879
0,0.3335735678604468
1,0.3047202290771016
0,0.10053202768829639
0,0.3300650693152114
0,0.44782370859953535
1,0.02663057829316684
1,0.8202096480256276
1,1.0361631737358112
0,0.6667264456034077
1,0.6518380993746
1,0.7704229478187219
0,0.11555357276808054
1,0.44926623328531234
1,0.7279533060417469
0,0.15230489360717514
1,0.21288602635871112
1,0.7663726492840983
1,0.7272244119611246
0,-0.20395978783233926
0,0.12946513314228691
0,-0.02149654535818646
0,0.2750828470753699
0,0.3990314777998538
0,0.15993455329022388
0,0.33468331477026947
1,0.2043806872389271
0,-0.12662190581567367
0,0.4317073296809255
1,0.6815897451878852
0,0.16316700452291077
0,0.4815615004588989
1,0.3010173917606316
0,0.26110908584364423
